pixel_id,ocean
1,Southern Ocean
2,Southern Ocean
3,Southern Ocean
4,Southern Ocean
5,Southern Ocean
6,Southern Ocean
7,Southern Ocean
8,Southern Ocean
9,Southern Ocean
10,Southern Ocean
11,Southern Ocean
12,Southern Ocean
13,Southern Ocean
14,Southern Ocean
15,Southern Ocean
16,Southern Ocean
17,Southern Ocean
18,Southern Ocean
19,Southern Ocean
20,Southern Ocean
21,Southern Ocean
22,Southern Ocean
23,Southern Ocean
24,Southern Ocean
25,Southern Ocean
26,Southern Ocean
27,Southern Ocean
28,Southern Ocean
29,Southern Ocean
30,Southern Ocean
31,Southern Ocean
32,Southern Ocean
33,Southern Ocean
34,
35,
36,
37,
38,Southern Ocean
39,Southern Ocean
40,Southern Ocean
41,Southern Ocean
42,Southern Ocean
43,Southern Ocean
44,Southern Ocean
45,Southern Ocean
46,Southern Ocean
47,Southern Ocean
48,Southern Ocean
49,Southern Ocean
50,Southern Ocean
51,Southern Ocean
52,Southern Ocean
53,Southern Ocean
54,Southern Ocean
55,Southern Ocean
56,Southern Ocean
57,Southern Ocean
58,Southern Ocean
59,
60,
61,Southern Ocean
62,Southern Ocean
63,
64,Southern Ocean
65,Southern Ocean
66,Southern Ocean
67,Southern Ocean
68,Southern Ocean
69,Southern Ocean
70,Southern Ocean
71,Southern Ocean
72,Southern Ocean
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,Southern Ocean
90,Southern Ocean
91,Southern Ocean
92,Southern Ocean
93,Southern Ocean
94,Southern Ocean
95,Southern Ocean
96,Southern Ocean
97,Southern Ocean
98,Southern Ocean
99,Southern Ocean
100,Southern Ocean
101,Southern Ocean
102,Southern Ocean
103,Southern Ocean
104,Southern Ocean
105,Southern Ocean
106,Southern Ocean
107,Southern Ocean
108,Southern Ocean
109,Southern Ocean
110,Southern Ocean
111,Southern Ocean
112,Southern Ocean
113,Southern Ocean
114,Southern Ocean
115,Southern Ocean
116,Southern Ocean
117,Southern Ocean
118,
119,
120,
121,
122,
123,
124,
125,Southern Ocean
126,Southern Ocean
127,Southern Ocean
128,Southern Ocean
129,Southern Ocean
130,Southern Ocean
131,Southern Ocean
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,Southern Ocean
162,Southern Ocean
163,Southern Ocean
164,Southern Ocean
165,Southern Ocean
166,Southern Ocean
167,Southern Ocean
168,Southern Ocean
169,Southern Ocean
170,Southern Ocean
171,Southern Ocean
172,Southern Ocean
173,Southern Ocean
174,Southern Ocean
175,Southern Ocean
176,Southern Ocean
177,Southern Ocean
178,Southern Ocean
179,Southern Ocean
180,Southern Ocean
181,Southern Ocean
182,Southern Ocean
183,Southern Ocean
184,Southern Ocean
185,Southern Ocean
186,Southern Ocean
187,Southern Ocean
188,Southern Ocean
189,Southern Ocean
190,Southern Ocean
191,Southern Ocean
192,Southern Ocean
193,Southern Ocean
194,Southern Ocean
195,Southern Ocean
196,Southern Ocean
197,Southern Ocean
198,Southern Ocean
199,Southern Ocean
200,Southern Ocean
201,Southern Ocean
202,Southern Ocean
203,Southern Ocean
204,
205,
206,Southern Ocean
207,Southern Ocean
208,Southern Ocean
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,Southern Ocean
248,Southern Ocean
249,Southern Ocean
250,Southern Ocean
251,Southern Ocean
252,Southern Ocean
253,Southern Ocean
254,Southern Ocean
255,Southern Ocean
256,Southern Ocean
257,Southern Ocean
258,Southern Ocean
259,Southern Ocean
260,Southern Ocean
261,Southern Ocean
262,Southern Ocean
263,Southern Ocean
264,Southern Ocean
265,Southern Ocean
266,Southern Ocean
267,Southern Ocean
268,Southern Ocean
269,Southern Ocean
270,Southern Ocean
271,Southern Ocean
272,Southern Ocean
273,Southern Ocean
274,Southern Ocean
275,Southern Ocean
276,Southern Ocean
277,Southern Ocean
278,Southern Ocean
279,Southern Ocean
280,Southern Ocean
281,Southern Ocean
282,Southern Ocean
283,Southern Ocean
284,Southern Ocean
285,Southern Ocean
286,Southern Ocean
287,Southern Ocean
288,Southern Ocean
289,Southern Ocean
290,Southern Ocean
291,Southern Ocean
292,Southern Ocean
293,Southern Ocean
294,Southern Ocean
295,Southern Ocean
296,Southern Ocean
297,Southern Ocean
298,Southern Ocean
299,Southern Ocean
300,Southern Ocean
301,Southern Ocean
302,Southern Ocean
303,Southern Ocean
304,Southern Ocean
305,Southern Ocean
306,Southern Ocean
307,Southern Ocean
308,
309,
310,
311,
312,
313,
314,
315,Southern Ocean
316,Southern Ocean
317,Southern Ocean
318,Southern Ocean
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,Southern Ocean
353,Southern Ocean
354,Southern Ocean
355,Southern Ocean
356,Southern Ocean
357,Southern Ocean
358,
359,
360,Southern Ocean
361,Southern Ocean
362,Southern Ocean
363,Southern Ocean
364,Southern Ocean
365,Southern Ocean
366,
367,
368,
369,
370,Southern Ocean
371,Southern Ocean
372,Southern Ocean
373,Southern Ocean
374,Southern Ocean
375,Southern Ocean
376,Southern Ocean
377,Southern Ocean
378,Southern Ocean
379,Southern Ocean
380,Southern Ocean
381,Southern Ocean
382,Southern Ocean
383,Southern Ocean
384,Southern Ocean
385,Southern Ocean
386,Southern Ocean
387,Southern Ocean
388,Southern Ocean
389,Southern Ocean
390,Southern Ocean
391,Southern Ocean
392,Southern Ocean
393,Southern Ocean
394,Southern Ocean
395,Southern Ocean
396,Southern Ocean
397,Southern Ocean
398,Southern Ocean
399,
400,
401,
402,Southern Ocean
403,Southern Ocean
404,Southern Ocean
405,Southern Ocean
406,Southern Ocean
407,Southern Ocean
408,Southern Ocean
409,Southern Ocean
410,Southern Ocean
411,Southern Ocean
412,Southern Ocean
413,Southern Ocean
414,Southern Ocean
415,Southern Ocean
416,Southern Ocean
417,
418,
419,
420,
421,
422,
423,Southern Ocean
424,Southern Ocean
425,Southern Ocean
426,Southern Ocean
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,Southern Ocean
461,Southern Ocean
462,Southern Ocean
463,
464,
465,Southern Ocean
466,Southern Ocean
467,Southern Ocean
468,Southern Ocean
469,Southern Ocean
470,
471,Southern Ocean
472,Southern Ocean
473,Southern Ocean
474,Southern Ocean
475,Southern Ocean
476,Southern Ocean
477,Southern Ocean
478,Southern Ocean
479,Southern Ocean
480,Southern Ocean
481,Southern Ocean
482,Southern Ocean
483,Southern Ocean
484,Southern Ocean
485,Southern Ocean
486,Southern Ocean
487,Southern Ocean
488,Southern Ocean
489,Southern Ocean
490,Southern Ocean
491,Southern Ocean
492,Southern Ocean
493,Southern Ocean
494,Southern Ocean
495,Southern Ocean
496,Southern Ocean
497,Southern Ocean
498,Southern Ocean
499,Southern Ocean
500,Southern Ocean
501,Southern Ocean
502,Southern Ocean
503,Southern Ocean
504,
505,Southern Ocean
506,Southern Ocean
507,Southern Ocean
508,Southern Ocean
509,Southern Ocean
510,Southern Ocean
511,Southern Ocean
512,Southern Ocean
513,Southern Ocean
514,Southern Ocean
515,Southern Ocean
516,Southern Ocean
517,
518,Southern Ocean
519,Southern Ocean
520,Southern Ocean
521,Southern Ocean
522,Southern Ocean
523,Southern Ocean
524,Southern Ocean
525,
526,
527,
528,
529,
530,
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,
541,
542,
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,Southern Ocean
559,Southern Ocean
560,Southern Ocean
561,Southern Ocean
562,Southern Ocean
563,Southern Ocean
564,Southern Ocean
565,Southern Ocean
566,Southern Ocean
567,Southern Ocean
568,Southern Ocean
569,Southern Ocean
570,Southern Ocean
571,Southern Ocean
572,Southern Ocean
573,Southern Ocean
574,Southern Ocean
575,Southern Ocean
576,Southern Ocean
577,Southern Ocean
578,Southern Ocean
579,Southern Ocean
580,Southern Ocean
581,Southern Ocean
582,Southern Ocean
583,
584,
585,
586,Southern Ocean
587,Southern Ocean
588,Southern Ocean
589,Southern Ocean
590,Southern Ocean
591,Southern Ocean
592,Southern Ocean
593,Southern Ocean
594,Southern Ocean
595,Southern Ocean
596,Southern Ocean
597,Southern Ocean
598,Southern Ocean
599,Southern Ocean
600,Southern Ocean
601,Southern Ocean
602,Southern Ocean
603,Southern Ocean
604,Southern Ocean
605,Southern Ocean
606,Southern Ocean
607,Southern Ocean
608,Southern Ocean
609,Southern Ocean
610,Southern Ocean
611,Southern Ocean
612,Southern Ocean
613,Southern Ocean
614,Southern Ocean
615,Southern Ocean
616,Southern Ocean
617,Southern Ocean
618,Southern Ocean
619,Southern Ocean
620,Southern Ocean
621,Southern Ocean
622,Southern Ocean
623,Southern Ocean
624,Southern Ocean
625,Southern Ocean
626,Southern Ocean
627,
628,Southern Ocean
629,Southern Ocean
630,Southern Ocean
631,Southern Ocean
632,
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,
661,
662,
663,
664,
665,
666,
667,
668,
669,Southern Ocean
670,Southern Ocean
671,Southern Ocean
672,Southern Ocean
673,Southern Ocean
674,Southern Ocean
675,Southern Ocean
676,Southern Ocean
677,Southern Ocean
678,Southern Ocean
679,Southern Ocean
680,
681,
682,
683,
684,
685,Southern Ocean
686,Southern Ocean
687,Southern Ocean
688,Southern Ocean
689,Southern Ocean
690,Southern Ocean
691,Southern Ocean
692,Southern Ocean
693,Southern Ocean
694,Southern Ocean
695,Southern Ocean
696,Southern Ocean
697,Southern Ocean
698,Southern Ocean
699,Southern Ocean
700,Southern Ocean
701,Southern Ocean
702,Southern Ocean
703,Southern Ocean
704,Southern Ocean
705,Southern Ocean
706,Southern Ocean
707,Southern Ocean
708,Southern Ocean
709,Southern Ocean
710,Southern Ocean
711,Southern Ocean
712,Southern Ocean
713,Southern Ocean
714,Southern Ocean
715,Southern Ocean
716,Southern Ocean
717,Southern Ocean
718,Southern Ocean
719,Southern Ocean
720,Southern Ocean
721,Southern Ocean
722,Southern Ocean
723,Southern Ocean
724,Southern Ocean
725,Southern Ocean
726,Southern Ocean
727,Southern Ocean
728,Southern Ocean
729,Southern Ocean
730,
731,
732,
733,Southern Ocean
734,
735,Southern Ocean
736,
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,
769,
770,
771,
772,
773,Southern Ocean
774,Southern Ocean
775,Southern Ocean
776,Southern Ocean
777,Southern Ocean
778,Southern Ocean
779,Southern Ocean
780,Southern Ocean
781,Southern Ocean
782,Southern Ocean
783,Southern Ocean
784,Southern Ocean
785,Southern Ocean
786,Southern Ocean
787,Southern Ocean
788,Southern Ocean
789,Southern Ocean
790,Southern Ocean
791,
792,
793,
794,
795,
796,Southern Ocean
797,Southern Ocean
798,
799,
800,Southern Ocean
801,Southern Ocean
802,Southern Ocean
803,
804,
805,Southern Ocean
806,Southern Ocean
807,Southern Ocean
808,Southern Ocean
809,Southern Ocean
810,Southern Ocean
811,Southern Ocean
812,Southern Ocean
813,Southern Ocean
814,Southern Ocean
815,Southern Ocean
816,Southern Ocean
817,Southern Ocean
818,Southern Ocean
819,Southern Ocean
820,Southern Ocean
821,Southern Ocean
822,Southern Ocean
823,Southern Ocean
824,Southern Ocean
825,Southern Ocean
826,Southern Ocean
827,Southern Ocean
828,Southern Ocean
829,Southern Ocean
830,Southern Ocean
831,Southern Ocean
832,Southern Ocean
833,Southern Ocean
834,Southern Ocean
835,Southern Ocean
836,Southern Ocean
837,Southern Ocean
838,Southern Ocean
839,Southern Ocean
840,Southern Ocean
841,Southern Ocean
842,Southern Ocean
843,Southern Ocean
844,Southern Ocean
845,Southern Ocean
846,Southern Ocean
847,Southern Ocean
848,Southern Ocean
849,
850,
851,
852,
853,
854,Southern Ocean
855,Southern Ocean
856,Southern Ocean
857,Southern Ocean
858,Southern Ocean
859,
860,
861,
862,
863,
864,
865,
866,
867,
868,
869,
870,
871,
872,
873,
874,
875,
876,
877,
878,
879,
880,
881,
882,
883,
884,
885,
886,
887,
888,
889,
890,
891,
892,
893,
894,
895,
896,
897,
898,
899,Southern Ocean
900,Southern Ocean
901,Southern Ocean
902,Southern Ocean
903,Southern Ocean
904,Southern Ocean
905,Southern Ocean
906,Southern Ocean
907,Southern Ocean
908,Southern Ocean
909,Southern Ocean
910,Southern Ocean
911,Southern Ocean
912,Southern Ocean
913,Southern Ocean
914,Southern Ocean
915,Southern Ocean
916,Southern Ocean
917,Southern Ocean
918,Southern Ocean
919,Southern Ocean
920,Southern Ocean
921,Southern Ocean
922,Southern Ocean
923,Southern Ocean
924,Southern Ocean
925,Southern Ocean
926,Southern Ocean
927,Southern Ocean
928,Southern Ocean
929,Southern Ocean
930,Southern Ocean
931,Southern Ocean
932,Southern Ocean
933,Southern Ocean
934,Southern Ocean
935,Southern Ocean
936,Southern Ocean
937,Southern Ocean
938,Southern Ocean
939,Southern Ocean
940,Southern Ocean
941,Southern Ocean
942,Southern Ocean
943,Southern Ocean
944,Southern Ocean
945,Southern Ocean
946,Southern Ocean
947,Southern Ocean
948,Southern Ocean
949,Southern Ocean
950,Southern Ocean
951,Southern Ocean
952,Southern Ocean
953,Southern Ocean
954,
955,
956,Southern Ocean
957,Southern Ocean
958,Southern Ocean
959,Southern Ocean
960,Southern Ocean
961,Southern Ocean
962,Southern Ocean
963,Southern Ocean
964,Southern Ocean
965,Southern Ocean
966,Southern Ocean
967,Southern Ocean
968,Southern Ocean
969,Southern Ocean
970,Southern Ocean
971,Southern Ocean
972,Southern Ocean
973,Southern Ocean
974,Southern Ocean
975,Southern Ocean
976,Southern Ocean
977,Southern Ocean
978,Southern Ocean
979,Southern Ocean
980,Southern Ocean
981,Southern Ocean
982,Southern Ocean
983,Southern Ocean
984,Southern Ocean
985,Southern Ocean
986,Southern Ocean
987,Southern Ocean
988,Southern Ocean
989,Southern Ocean
990,Southern Ocean
991,Southern Ocean
992,Southern Ocean
993,Southern Ocean
994,Southern Ocean
995,Southern Ocean
996,Southern Ocean
997,Southern Ocean
998,Southern Ocean
999,Southern Ocean
1000,
1001,
1002,
1003,
1004,
1005,Southern Ocean
1006,Southern Ocean
1007,Southern Ocean
1008,Southern Ocean
1009,Southern Ocean
1010,
1011,
1012,
1013,
1014,
1015,
1016,
1017,
1018,
1019,
1020,
1021,
1022,
1023,
1024,
1025,
1026,
1027,
1028,
1029,
1030,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,Southern Ocean
1048,Southern Ocean
1049,Southern Ocean
1050,Southern Ocean
1051,Southern Ocean
1052,Southern Ocean
1053,Southern Ocean
1054,Southern Ocean
1055,Southern Ocean
1056,Southern Ocean
1057,Southern Ocean
1058,Southern Ocean
1059,Southern Ocean
1060,Southern Ocean
1061,Southern Ocean
1062,Southern Ocean
1063,Southern Ocean
1064,Southern Ocean
1065,Southern Ocean
1066,Southern Ocean
1067,Southern Ocean
1068,Southern Ocean
1069,Southern Ocean
1070,Southern Ocean
1071,Southern Ocean
1072,Southern Ocean
1073,Southern Ocean
1074,Southern Ocean
1075,Southern Ocean
1076,Southern Ocean
1077,Southern Ocean
1078,Southern Ocean
1079,Southern Ocean
1080,Southern Ocean
1081,Southern Ocean
1082,Southern Ocean
1083,Southern Ocean
1084,Southern Ocean
1085,Southern Ocean
1086,Southern Ocean
1087,Southern Ocean
1088,Southern Ocean
1089,Southern Ocean
1090,Southern Ocean
1091,Southern Ocean
1092,Southern Ocean
1093,Southern Ocean
