scenario,mpa_coverage,forecast_horizon,fishing_binary,fishing_hours,fishing_binary_bau,fishing_hours_bau,region,fishing_binary_delta,fishing_hours_delta_absolute,fishing_hours_delta,unprotected_effort,protected_effort,fraction_effort_protected
Protecting unfished pixels,0.03,1,22861,55082007.4969415,22770,55565396.50501361,Global,0.003996486605182257,-483389.00807210803,-0.008699461148063478,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,2,22794,54572533.856798775,22689,54774230.5793881,Global,0.004627793203755124,-201696.72258932143,-0.003682328723851052,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,3,22653,54707121.03748079,22560,55366811.689038,Global,0.004122340425531915,-659690.6515572146,-0.011914911323814332,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.05,1,22846,54875588.76449259,22770,55565396.50501367,Global,0.0033377250768555117,-689807.7405210733,-0.012414340289263156,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,2,22754,54174772.38578575,22689,54774230.57938805,Global,0.002864824364229362,-599458.1936023012,-0.010944164569020559,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,3,22570,54182937.02202788,22560,55366811.68903798,Global,4.432624113475177e-4,-1183874.6670100987,-0.02138238830979124,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.1,1,22793,54807856.0871503,22770,55565396.505013704,Global,0.00101010101010101,-757540.4178634062,-0.013633312556224679,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,2,22669,54163195.45119147,22689,54774230.57938804,Global,-8.814844197628807e-4,-611035.1281965673,-0.011155521889275146,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,3,22487,53039552.70537228,22560,55366811.68903803,Global,-0.0032358156028368793,-2327258.9836657494,-0.04203346576531368,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.16,1,22652,54719424.02610911,22770,55565396.50501363,Global,-0.0051822573561704,-845972.478904523,-0.015224807742138425,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,2,22477,53923790.4932682,22689,54774230.57938804,Global,-0.009343734849486536,-850440.0861198381,-0.01552628082812112,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,3,22278,52651919.65851813,22560,55366811.689038016,Global,-0.0125,-2714892.030519888,-0.049034646346764535,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.2,1,22560,54598939.84308974,22770,55565396.5050138,Global,-0.00922266139657444,-966456.6619240642,-0.01739313894461022,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,2,22390,53724513.729961716,22689,54774230.57938808,Global,-0.013178192075455066,-1049716.8494263664,-0.019164428935335553,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,3,22173,52308773.53746593,22560,55366811.689037964,Global,-0.017154255319148937,-3058038.1515720338,-0.05523233248010003,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.3,1,22337,54456151.84132847,22770,55565396.50501372,Global,-0.01901624945103206,-1109244.6636852473,-0.01996286778202256,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,2,22105,53545736.3450043,22689,54774230.57938801,Global,-0.025739345057076115,-1228494.2343837097,-0.02242832480509552,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,3,21851,52062022.39838269,22560,55366811.68903799,Global,-0.03142730496453901,-3304789.2906553,-0.059688993999082146,51309947.33295389,141165.22198927,0.002743676763811934
Visalli et al. 2020,0.16,1,21838,53900977.395556234,22770,55565396.505013704,Global,-0.0409310496267018,-1664419.1094574705,-0.029954237963681025,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,2,21211,52879351.1975149,22689,54774230.579388,Global,-0.06514169862047689,-1894879.381873101,-0.03459435873091314,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,3,21067,53038093.404769026,22560,55366811.689037904,Global,-0.06617907801418439,-2328718.2842688784,-0.04205982272101722,49748124.56663482,1702987.9883083599,0.03309914798226739
Expert-derived EBSA,0.2,1,20697,51949030.20783532,22770,55565396.50501377,Global,-0.09104084321475626,-3616366.2971784547,-0.06508306472450247,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,2,19899,50782408.64923896,22689,54774230.579388015,Global,-0.12296707655692185,-3991821.930149056,-0.07287773626255575,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,3,19745,49135327.780981004,22560,55366811.68903807,Global,-0.12477836879432624,-6231483.908057064,-0.11254908343026043,45223871.13217698,6227241.4227662515,0.12103220151199551
Sala et al. 2021 food,0.03,1,22869,53389092.09433628,22770,55565396.50501377,Global,0.004347826086956522,-2176304.4106774926,-0.03916654154499052,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,2,22752,52394113.01271108,22689,54774230.57938814,Global,0.002776675922253074,-2380117.5666770637,-0.0434532359743035,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,3,22653,50797383.06320254,22560,55366811.689038105,Global,0.004122340425531915,-4569428.625835568,-0.082530102175637,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.05,1,22820,51744960.319199644,22770,55565396.505013704,Global,0.0021958717610891525,-3820436.1858140603,-0.06875567216494784,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,2,22684,50438753.391265996,22689,54774230.57938839,Global,-2.2037110494072017e-4,-4335477.188122392,-0.0791517679438447,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,3,22502,47969285.30228684,22560,55366811.68903805,Global,-0.0025709219858156026,-7397526.386751212,-0.13360939814086914,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.1,1,22624,51233043.0448541,22770,55565396.5050139,Global,-0.006411945542380325,-4332353.460159801,-0.07796855116059281,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,2,22387,49797046.87368855,22689,54774230.579388626,Global,-0.013310414738419499,-4977183.705700077,-0.09086725003806764,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,3,22059,47545306.86122743,22560,55366811.6890381,Global,-0.02220744680851064,-7821504.827810667,-0.14126702602525373,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.16,1,22278,50774472.60508541,22770,55565396.50501372,Global,-0.02160737812911726,-4790923.899928309,-0.0862213571983783,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,2,21834,49194376.965152584,22689,54774230.57938864,Global,-0.03768345894486315,-5579853.614236057,-0.10187005011688356,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,3,21444,46878305.34338326,22560,55366811.68903835,Global,-0.04946808510638298,-8488506.345655091,-0.15331398154782436,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.2,1,22056,50722579.74101574,22770,55565396.5050137,Global,-0.03135704874835309,-4842816.763997957,-0.08715526332221867,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,2,21589,49135807.94443316,22689,54774230.57938866,Global,-0.04848164308695844,-5638422.634955503,-0.1029393306909768,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,3,21189,46809238.936151326,22560,55366811.689038366,Global,-0.06077127659574468,-8557572.75288704,-0.1545614148950767,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.3,1,21910,50701970.15220515,22770,55565396.50501369,Global,-0.037768994290733424,-4863426.352808543,-0.08752617021944069,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,2,21449,49113492.48420555,22689,54774230.57938869,Global,-0.054652034025298606,-5660738.0951831415,-0.10334673870002754,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,3,21022,46784293.609414324,22560,55366811.68903835,Global,-0.06817375886524822,-8582518.079624027,-0.15501196145855034,38929117.32495076,12521995.229992619,0.24337656871113694
Random,0.03,1,22856,54735085.98962035,22770,55565396.50501368,Global,0.003776899429073342,-830310.5153933316,-0.014942942327756312,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,2,22765,54033897.453987524,22689,54774230.57938802,Global,0.003349640795098947,-740333.1254004985,-0.013516084435498977,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,3,22654,54121545.684868164,22560,55366811.68903802,Global,0.004166666666666667,-1245266.004169859,-0.02249119944207311,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.05,1,22827,54004235.1961356,22770,55565396.50501396,Global,0.002503293807641634,-1561161.3088783547,-0.02809592672910168,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,2,22718,52929003.91802437,22689,54774230.57938785,Global,0.001278152408656177,-1845226.6613634825,-0.03368786091278956,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,3,22542,51948063.36554645,22560,55366811.68903805,Global,-7.978723404255319e-4,-3418748.323491603,-0.06174724928523333,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.1,1,22719,52748859.09154619,22770,55565396.505013615,Global,-0.0022397891963109352,-2816537.413467422,-0.0506886945945448,47692164.85610888,3758947.698834288,0.07305862812626676
Random,0.1,2,22518,51186523.15300049,22689,54774230.579388075,Global,-0.00753669178897263,-3587707.4263875857,-0.06549991462112231,47692164.85610888,3758947.698834288,0.07305862812626676
Random,0.1,3,22336,49495816.33079967,22560,55366811.6890382,Global,-0.009929078014184398,-5870995.358238533,-0.10603816942200596,47692164.85610888,3758947.698834288,0.07305862812626676
Random,0.16,1,22546,51686297.96095277,22770,55565396.505013816,Global,-0.009837505489679403,-3879098.5440610424,-0.06981140760348971,44878212.68610602,6572899.868837199,0.12775039338203195
Random,0.16,2,22189,49891783.45649301,22689,54774230.579388395,Global,-0.022037110494072018,-4882447.122895382,-0.08913766695122967,44878212.68610602,6572899.868837199,0.12775039338203195
Random,0.16,3,22010,47814470.76015168,22560,55366811.68903841,Global,-0.024379432624113476,-7552340.928886734,-0.136405559548988,44878212.68610602,6572899.868837199,0.12775039338203195
Random,0.2,1,22391,51138829.25798738,22770,55565396.505013704,Global,-0.016644707949055777,-4426567.247026324,-0.07966409897978344,43158415.9047482,8292696.650195156,0.16117623581685608
Random,0.2,2,21964,49276429.649136044,22689,54774230.57938835,Global,-0.03195381021640443,-5497800.930252306,-0.10037203393088172,43158415.9047482,8292696.650195156,0.16117623581685608
Random,0.2,3,21782,47096388.1924335,22560,55366811.6890383,Global,-0.03448581560283688,-8270423.4966048,-0.1493751083781876,43158415.9047482,8292696.650195156,0.16117623581685608
Random,0.3,1,21924,49931193.8862222,22770,55565396.50501372,Global,-0.03715415019762846,-5634202.618791521,-0.10139768584721862,37509806.053955294,13941306.500988033,0.2709621970973022
Random,0.3,2,21190,47681288.1805366,22689,54774230.57938824,Global,-0.0660672572612279,-7092942.3988516405,-0.12949414941705714,37509806.053955294,13941306.500988033,0.2709621970973022
Random,0.3,3,21062,45291590.40244277,22560,55366811.68903802,Global,-0.06640070921985816,-10075221.286595255,-0.18197221366441857,37509806.053955294,13941306.500988033,0.2709621970973022
