lon,lat,year,flag,fishing_hours
129.4,6.5,2016,PNG,0
129.4,6.5,2020,PHL,0
129.5,4.7,2019,USA,0
129.5,4.9,2016,PHL,0
129.5,4.9,2017,PNG,0
129.5,4.9,2020,FSM,0
129.5,5,2019,CHN,0
129.5,5,2019,PHL,0
129.5,5,2019,TWN,0
129.5,5.1000000000000005,2016,KIR,0
129.5,5.1000000000000005,2016,TWN,0
129.5,5.1000000000000005,2017,FSM,0
129.5,5.1000000000000005,2018,PHL,0
129.5,5.1000000000000005,2019,PNG,0
129.5,5.1000000000000005,2020,FSM,0
129.5,5.2,2018,PHL,0
129.5,5.2,2020,FSM,0
129.5,5.300000000000001,2016,PHL,0
129.5,5.300000000000001,2019,TWN,0
129.5,5.4,2018,JPN,0
129.5,5.5,2017,FSM,0
129.5,5.5,2019,TWN,0
129.5,5.6000000000000005,2016,PHL,0
129.5,5.6000000000000005,2017,PNG,0
129.5,5.6000000000000005,2017,TWN,0
129.5,5.6000000000000005,2018,TWN,0
129.5,5.6000000000000005,2019,TWN,0
129.5,5.6000000000000005,2020,TWN,0
129.5,5.7,2017,FSM,0
129.5,5.7,2017,PNG,0
129.5,5.7,2017,TWN,0
129.5,5.7,2018,TWN,0
129.5,5.7,2020,KOR,0
129.5,5.800000000000001,2016,PHL,0
129.5,5.800000000000001,2018,TWN,0
129.5,6,2017,TWN,0
129.5,6,2019,TWN,0
129.5,6.1000000000000005,2018,TWN,0
129.5,6.1000000000000005,2019,TWN,0
129.5,6.1000000000000005,2020,TWN,0
129.5,6.2,2016,PNG,0
129.5,6.2,2018,TWN,0
129.5,6.2,2019,TWN,0
129.5,6.300000000000001,2018,TWN,0
129.5,6.300000000000001,2019,CHN,0
129.5,6.300000000000001,2019,PHL,0
129.5,6.300000000000001,2019,TWN,0
129.5,6.300000000000001,2020,PHL,0
129.5,6.300000000000001,2021,JPN,0
129.5,6.300000000000001,2021,PHL,0
129.5,6.4,2018,TWN,0
129.5,6.4,2019,NRU,0
129.5,6.4,2019,PHL,0
129.5,6.4,2019,TWN,0
129.5,6.4,2020,PHL,0
129.5,6.4,2020,TWN,0
129.5,6.4,2021,JPN,0
129.5,6.4,2021,NRU,0
129.5,6.4,2021,PHL,0
129.5,6.4,2021,PNG,0
129.5,6.5,2016,PNG,0
129.5,6.5,2017,CHN,0
129.5,6.5,2017,PHL,0
129.5,6.5,2017,TWN,0
129.5,6.5,2018,PNG,0
129.5,6.5,2018,TWN,0
129.5,6.5,2019,PHL,0
129.5,6.5,2019,PNG,0
129.5,6.5,2019,TWN,0
129.5,6.5,2020,PHL,0
129.5,6.5,2020,PNG,0
129.5,6.5,2021,FSM,0
129.5,6.5,2021,NRU,0
129.5,6.5,2021,PHL,0
129.5,6.5,2021,TUV,0
129.5,6.6000000000000005,2016,PNG,0
129.5,6.6000000000000005,2016,TWN,0
129.5,6.6000000000000005,2018,CHN,0
129.5,6.6000000000000005,2018,JPN,0
129.5,6.6000000000000005,2018,TWN,1.1347222222222222
129.5,6.6000000000000005,2019,CHN,0
129.5,6.6000000000000005,2019,NRU,0
129.5,6.6000000000000005,2019,PHL,0
129.5,6.6000000000000005,2019,PNG,0
129.5,6.6000000000000005,2019,TWN,0
129.5,6.6000000000000005,2020,PHL,0
129.5,6.6000000000000005,2020,TWN,0
129.5,6.6000000000000005,2021,CHN,0
129.5,6.6000000000000005,2021,PHL,0
129.5,6.6000000000000005,2021,PNG,0
129.5,6.6000000000000005,2021,TWN,0
129.5,6.7,2018,PHL,0
129.5,6.7,2019,PHL,0
129.5,6.7,2019,PNG,0
129.5,6.7,2019,TWN,0
129.5,6.800000000000001,2018,TWN,0
129.5,6.800000000000001,2021,JPN,0
