forecast_horizon,.metric,.estimator,.estimate,region,model
1,precision,binary,0.8995657356948229,Global,Baseline (RF with all model features)
1,recall,binary,0.9241165150454863,Global,Baseline (RF with all model features)
1,f_meas,binary,0.9116758715913013,Global,Baseline (RF with all model features)
1,roc_auc,binary,0.9698271608021216,Global,Baseline (RF with all model features)
2,precision,binary,0.888517745302714,Global,Baseline (RF with all model features)
2,recall,binary,0.9307207837648706,Global,Baseline (RF with all model features)
2,f_meas,binary,0.9091297475114282,Global,Baseline (RF with all model features)
2,roc_auc,binary,0.9671940032049958,Global,Baseline (RF with all model features)
3,precision,binary,0.9069070373588184,Global,Baseline (RF with all model features)
3,recall,binary,0.9130948215535339,Global,Baseline (RF with all model features)
3,f_meas,binary,0.909990410600645,Global,Baseline (RF with all model features)
3,roc_auc,binary,0.9694841112988425,Global,Baseline (RF with all model features)
1,precision,binary,0.8946104122990916,Global,RF with just lagged fishing model feature
1,recall,binary,0.8958624912526242,Global,RF with just lagged fishing model feature
1,f_meas,binary,0.895236013986014,Global,RF with just lagged fishing model feature
1,roc_auc,binary,0.9287533055833327,Global,RF with just lagged fishing model feature
2,precision,binary,0.8679188515430242,Global,RF with just lagged fishing model feature
2,recall,binary,0.8831787963610916,Global,RF with just lagged fishing model feature
2,f_meas,binary,0.8754823325384783,Global,RF with just lagged fishing model feature
2,roc_auc,binary,0.9073844305621213,Global,RF with just lagged fishing model feature
3,precision,binary,0.8618117078546903,Global,RF with just lagged fishing model feature
3,recall,binary,0.8892144856543037,Global,RF with just lagged fishing model feature
3,f_meas,binary,0.8752986761381981,Global,RF with just lagged fishing model feature
3,roc_auc,binary,0.902162455933667,Global,RF with just lagged fishing model feature
1,precision,binary,0.8915589748022648,Global,LM with just lagged fishing model feature
1,recall,binary,0.9022043386983905,Global,LM with just lagged fishing model feature
1,f_meas,binary,0.8968500684767723,Global,LM with just lagged fishing model feature
1,roc_auc,binary,0.9326792880710607,Global,LM with just lagged fishing model feature
2,precision,binary,0.8649927530053713,Global,LM with just lagged fishing model feature
2,recall,binary,0.8874650104968509,Global,LM with just lagged fishing model feature
2,f_meas,binary,0.8760847977203058,Global,LM with just lagged fishing model feature
2,roc_auc,binary,0.9123359020006379,Global,LM with just lagged fishing model feature
3,precision,binary,0.8600084281500211,Global,LM with just lagged fishing model feature
3,recall,binary,0.8925822253324003,Global,LM with just lagged fishing model feature
3,f_meas,binary,0.8759926170751599,Global,LM with just lagged fishing model feature
3,roc_auc,binary,0.9071207027042302,Global,LM with just lagged fishing model feature
1,precision,binary,0.49458132341171124,Global,LM with all model features
1,recall,binary,1,Global,LM with all model features
1,f_meas,binary,0.6618326024343999,Global,LM with all model features
1,roc_auc,binary,0.5,Global,LM with all model features
2,precision,binary,0.876987340693065,Global,LM with all model features
2,recall,binary,0.8998862841147656,Global,LM with all model features
2,f_meas,binary,0.8882892606583919,Global,LM with all model features
2,roc_auc,binary,0.9530469395453736,Global,LM with all model features
3,precision,binary,0.49458132341171124,Global,LM with all model features
3,recall,binary,1,Global,LM with all model features
3,f_meas,binary,0.6618326024343999,Global,LM with all model features
3,roc_auc,binary,0.5,Global,LM with all model features
